"period","site","dens","spp","norm"
57,"1_10R",0.05,"pter",-0.566534335767605
58,"1_10R",NA,"pter",NA
59,"1_10R",NA,"pter",NA
60,"1_10R",NA,"pter",NA
61,"1_10R",0,"pter",-0.729262283275321
62,"1_10R",NA,"pter",NA
63,"1_10R",0.3,"pter",0.247105401770976
1,"1_10R",1.35,"purp",-1.1224029918631
2,"1_10R",0.65,"purp",-1.16504302512182
3,"1_10R",0.5,"purp",-1.17418017510583
4,"1_10R",0.65,"purp",-1.16504302512182
5,"1_10R",0.7,"purp",-1.16199730846048
6,"1_10R",1.2,"purp",-1.13154014184711
7,"1_10R",0.5,"purp",-1.17418017510583
8,"1_10R",NA,"purp",NA
9,"1_10R",0.05,"purp",-1.20159162505787
10,"1_10R",2.2,"purp",-1.07062580862037
11,"1_10R",2.25,"purp",-1.06758009195903
12,"1_10R",1.6,"purp",-1.10717440855642
13,"1_10R",1.5,"purp",-1.11326584187909
14,"1_10R",9.35,"purp",-0.635088326049172
15,"1_10R",4.95,"purp",-0.903111392246834
16,"1_10R",6.6,"purp",-0.802602742422711
17,"1_10R",5.85,"purp",-0.848288492342766
18,"1_10R",19.9,"purp",0.00755788949294748
19,"1_10R",21,"purp",0.0745636560423629
20,"1_10R",NA,"purp",NA
21,"1_10R",39.35,"purp",1.19234167075306
22,"1_10R",56,"purp",2.2065653189783
23,"1_10R",58.7,"purp",2.37103401869051
24,"1_10R",43.1,"purp",1.42077042035334
25,"1_10R",20.95,"purp",0.0715179393810258
26,"1_10R",NA,"purp",NA
27,"1_10R",30.85,"purp",0.674569838325764
28,"1_10R",16.9,"purp",-0.175185110187276
29,"1_10R",28.4,"purp",0.525329721920248
30,"1_10R",26.5,"purp",0.40959248878944
31,"1_10R",22.5,"purp",0.165935155882475
32,"1_10R",26.8,"purp",0.427866788757462
33,"1_10R",27.3,"purp",0.458323955370833
34,"1_10R",25.45,"purp",0.345632438901361
35,"1_10R",14,"purp",-0.351836676544826
36,"1_10R",9.8,"purp",-0.607676876097139
37,"1_10R",3.7,"purp",-0.97925430878026
38,"1_10R",8.2,"purp",-0.705139809259925
39,"1_10R",15.1,"purp",-0.28483090999541
40,"1_10R",18.15,"purp",-0.0990421936538496
41,"1_10R",25.9,"purp",0.373043888853395
42,"1_10R",17.45,"purp",-0.141682226912568
43,"1_10R",17.9,"purp",-0.114270776960535
44,"1_10R",17.4,"purp",-0.144727943573906
45,"1_10R",24.1,"purp",0.263398089045261
46,"1_10R",0.4,"purp",-1.18027160842851
47,"1_10R",18.9,"purp",-0.0533564437337937
48,"1_10R",NA,"purp",NA
49,"1_10R",42,"purp",1.35376465380393
50,"1_10R",41.6,"purp",1.32939892051323
51,"1_10R",52.3,"purp",1.98118228603936
52,"1_10R",19.6,"purp",-0.0107164104750747
53,"1_10R",32.1,"purp",0.75071275485919
54,"1_10R",19.3,"purp",-0.0289907104430971
55,"1_10R",37.65,"purp",1.0887873042676
56,"1_10R",NA,"purp",NA
57,"1_10R",33.65,"purp",0.845129971360639
58,"1_10R",NA,"purp",NA
59,"1_10R",NA,"purp",NA
60,"1_10R",NA,"purp",NA
61,"1_10R",49.75,"purp",1.82585073631117
62,"1_10R",NA,"purp",NA
63,"1_10R",45.35,"purp",1.55782767011351
1,"1_10R",0,"red",-0.580864210374692
2,"1_10R",0,"red",-0.580864210374692
3,"1_10R",0,"red",-0.580864210374692
4,"1_10R",0,"red",-0.580864210374692
5,"1_10R",0,"red",-0.580864210374692
6,"1_10R",0,"red",-0.580864210374692
7,"1_10R",0,"red",-0.580864210374692
8,"1_10R",NA,"red",NA
9,"1_10R",0,"red",-0.580864210374692
10,"1_10R",0,"red",-0.580864210374692
11,"1_10R",0,"red",-0.580864210374692
12,"1_10R",0,"red",-0.580864210374692
13,"1_10R",0,"red",-0.580864210374692
14,"1_10R",0,"red",-0.580864210374692
15,"1_10R",0,"red",-0.580864210374692
16,"1_10R",0,"red",-0.580864210374692
17,"1_10R",0,"red",-0.580864210374692
18,"1_10R",0,"red",-0.580864210374692
19,"1_10R",0,"red",-0.580864210374692
20,"1_10R",NA,"red",NA
21,"1_10R",0.45,"red",2.74031233365002
22,"1_10R",0.35,"red",2.00227310164453
23,"1_10R",0.7,"red",4.58541041366374
24,"1_10R",0.15,"red",0.526194637633544
25,"1_10R",0.25,"red",1.26423386963903
26,"1_10R",NA,"red",NA
27,"1_10R",0,"red",-0.580864210374692
28,"1_10R",0,"red",-0.580864210374692
29,"1_10R",0.15,"red",0.526194637633544
30,"1_10R",0.25,"red",1.26423386963903
31,"1_10R",0.05,"red",-0.211844594371946
32,"1_10R",0.05,"red",-0.211844594371946
33,"1_10R",0.05,"red",-0.211844594371946
34,"1_10R",0.05,"red",-0.211844594371946
35,"1_10R",0.1,"red",0.157175021630799
36,"1_10R",0,"red",-0.580864210374692
37,"1_10R",0,"red",-0.580864210374692
38,"1_10R",0.05,"red",-0.211844594371946
39,"1_10R",0,"red",-0.580864210374692
